idx,nums,target,bucket,n_turns,elapsed_s,answer,reward
0,29-10-8-21,79,quit,9,16.82,29 × (10 - 8) + 21,-0.5
1,29-86-79-27,93,timeout,16,29.14,,-1.5
2,48-48-19-21,41,quit,12,23.15,(48 + 19) -,-0.5
3,11-33-32-22,61,timeout,16,29.08,,-1.5
4,32-38-86-84,54,wrong,13,25.19,(86 - 32) + (84 - 84),-0.1
5,5-60-3-92,64,quit,3,3.99,(92 - 60) × (5 - 3) = 64,-0.5
6,7-41-6-31,72,quit,5,7.8,(41 + 31) × (7 - 6) = 72,-0.5
7,97-83-33-66,90,correct,4,6.89,(97 + 83) / (66 / 33),1.77
8,2-14-6-23,38,correct,6,9.99,(23 * 2) - 14 + 6,1.667
9,23-32-59-5,70,timeout,16,29.31,,-1.5
10,3-30-60-80,14,quit,4,6.87,(60 + 80) ÷ (30 ÷ 3),-0.5
11,4-13-6-60,34,quit,13,25.21,60 - (13 + 6 + 4) = 37,-0.5
12,79-75-34-13,28,wrong,10,19.25,75,-0.1
13,95-55-21-31,49,timeout,16,29.24,,-1.5
14,14-15-90-39,51,quit,8,14.35,(90 - 39) × (15 - 14),-0.5
15,2-21-82-64,94,timeout,16,29.22,,-1.5
16,9-34-17-85,63,timeout,16,29.21,,-1.5
17,40-11-3-12,14,correct,2,3.25,40 - 12 - 11 - 3,1.892
18,3-2-19-68,87,quit,4,7.14,(68 + 19) × (3 - 2),-0.5
19,43-13-58-7,92,timeout,16,29.22,,-1.5
20,70-18-75-25,65,timeout,16,29.24,,-1.5
21,20-77-2-5,50,quit,2,2.08,77 - (20 + 2 + 5) = 50,-0.5
22,8-32-88-2,53,timeout,16,29.22,,-1.5
23,21-28-5-96,34,wrong,5,7.81,(21 - 5) + (96 / (28 - 21)),-0.1
24,28-69-13-54,27,timeout,16,29.24,,-1.5
25,46-37-27-20,23,correct,7,13.15,46 / (20 / (37 - 27)),1.562
26,88-83-15-95,34,quit,13,25.22,(95 - 88) + (83 - 15) = 7 + 68 = 75,-0.5
27,64-83-92-99,96,quit,12,22.16,92 + (64 ÷ (99 - 83)),-0.5
28,11-49-95-14,48,timeout,16,29.23,,-1.5
29,35-32-88-12,64,timeout,16,29.24,,-1.5
30,89-15-9-74,90,timeout,16,29.24,,-1.5
31,35-14-32-32,74,timeout,16,29.24,,-1.5
32,74-2-89-28,66,quit,14,26.59,no solution,-0.5
33,61-43-41-48,37,correct,11,20.5,61 - (48 / (43 - 41)),1.317
34,4-6-34-23,80,quit,6,9.7,34 + (23 × (6 - 4)),-0.5
35,92-27-89-15,36,correct,7,13.12,(27 - 15) * (92 - 89),1.563
36,46-47-71-93,22,quit,4,5.91,(93 - 71) × (47 - 46) = 22,-0.5
37,13-58-86-57,26,quit,15,28.51,(86 - 58) - (57 - 13) = 28 - 44 = -16,-0.5
38,2-84-86-29,53,correct,14,26.67,(84 * 2) - 86 - 29,1.111
39,91-28-44-8,49,timeout,16,29.17,,-1.5
40,20-94-36-29,46,quit,12,23.2,(94 - 36 - (29 - 20)) = 49,-0.5
41,40-50-52-6,59,quit,12,23.22,6 × (50 - 40) - (52 / 52),-0.5
42,12-41-60-51,67,timeout,16,29.23,,-1.5
43,4-50-34-97,52,correct,9,17.02,(97 - 34 - 50) * 4,1.433
44,22-19-8-81,83,timeout,16,29.24,,-1.5
45,69-6-75-87,25,timeout,16,29.32,,-1.5
46,23-68-64-9,59,timeout,16,29.31,,-1.5
47,4-46-37-82,23,quit,14,25.57,(82 - 46) - (37 - 4) = 36 - 33 = 3,-0.5
48,72-61-30-66,63,timeout,16,29.3,,-1.5
49,8-73-21-85,10,quit,10,17.5,(8 × 21) - 85 - 73,-0.5
