problem_idx,numbers,target,target_s,seed,answer,answer_emitted,timed_out,elapsed_s,total_output_tokens,n_assistant_turns,correct,run_file
0,2-3-4-5,24,15.0,0,(4 * 5) - (2 / 3) * 3,True,False,4.422,177,1,False,p0_T15_s0.json
0,2-3-4-5,24,30.0,0,(4 * (5 - 1)) * (3 / 2),True,False,16.08,632,3,False,p0_T30_s0.json
0,2-3-4-5,24,60.0,0,(3 + 4) * (5 - 2) = 24,True,False,6.892,278,2,,p0_T60_s0.json
0,2-3-4-5,24,120.0,0,(5 * 4) - (3 - 2),True,False,8.224,327,2,False,p0_T120_s0.json
1,1-5-6-7,21,15.0,0,(7 * (6 - 4/2)) + 1,True,False,6.011,240,1,False,p1_T15_s0.json
1,1-5-6-7,21,30.0,0,(7 * (5 - 2)) + 1,True,False,26.752,1041,5,False,p1_T30_s0.json
1,1-5-6-7,21,60.0,0,7,True,False,6.416,256,1,False,p1_T60_s0.json
1,1-5-6-7,21,120.0,0,(7 - 1) * (5 + 1),True,False,13.772,547,3,False,p1_T120_s0.json
2,3-5-7-8,24,15.0,0,8 * 3 * (7 - 5),True,False,4.246,170,1,False,p2_T15_s0.json
2,3-5-7-8,24,30.0,0,(8 * (7 - 5)) + 3 * (,True,False,12.971,512,2,,p2_T30_s0.json
2,3-5-7-8,24,60.0,0,3 * 8,True,False,1.253,63,1,False,p2_T60_s0.json
2,3-5-7-8,24,120.0,0,(8 * (7 - 3)) + 5,True,False,11.993,474,2,False,p2_T120_s0.json
3,2-4-6-9,24,15.0,0,9 * (4 - 2) + 6,True,False,6.784,273,2,True,p3_T15_s0.json
3,2-4-6-9,24,30.0,0,(9 - 6) * (4 * 2),True,False,6.784,273,2,True,p3_T30_s0.json
3,2-4-6-9,24,60.0,0,2 * (4 * (9 - 6)),True,False,4.321,173,1,True,p3_T60_s0.json
3,2-4-6-9,24,120.0,0,(9 - 6 + 2) * (4 + 1),True,False,7.306,297,2,False,p3_T120_s0.json
